id,development_sales,diagnostic_sales,same_physical_feature_profile,zipcode
0001000102,1,1,True,98002
0007200179,1,1,True,98055
0302000375,1,1,True,98001
0324000530,1,1,True,98116
0643300040,1,1,True,98006
0705730280,1,1,True,98038
0722039087,1,1,True,98070
0795000620,2,1,True,98168
0937000330,1,1,True,98198
1036400200,1,1,True,98052
1139600270,1,1,True,98023
1219000473,1,1,True,98166
1231000510,1,1,True,98118
1232000810,1,1,True,98117
1250201165,1,1,True,98144
1254200015,1,1,True,98117
1423049019,1,1,True,98178
1432400120,1,1,True,98058
1450100390,1,1,True,98002
1524079093,1,1,True,98024
1545800290,1,1,True,98038
1630700361,1,1,True,98077
1721801010,1,1,True,98146
1788900230,1,1,True,98023
1901600090,1,1,True,98166
1922059278,1,1,True,98030
2023049218,1,1,True,98148
2143700830,1,1,True,98055
2206700215,1,1,True,98006
2212200100,1,1,True,98031
2231500030,1,1,True,98133
2568300045,1,1,True,98125
2621600015,1,1,True,98030
2726049071,1,1,True,98125
2787460720,1,1,True,98031
3303000130,1,1,True,98177
3332000615,1,1,True,98118
3395040550,1,1,True,98108
3523069060,1,1,True,98038
3528000040,1,1,True,98053
3558900590,1,1,True,98034
3578401060,1,1,True,98074
3598600049,1,1,True,98168
3739500096,1,1,True,98155
3883800011,1,1,True,98146
3904100089,1,1,True,98118
4154300296,1,1,True,98118
4202400078,1,1,True,98055
4204400098,1,1,True,98055
4222310010,1,1,True,98003
4302201085,1,1,True,98106
4345000510,1,1,True,98030
4364700600,1,1,True,98126
4435000705,1,1,True,98188
4443800385,1,1,True,98117
5083000375,1,1,True,98198
5101402435,1,1,True,98115
5101405604,1,1,True,98125
5249801440,1,1,True,98118
5332200530,1,1,True,98112
5417600130,1,1,True,98065
5536100020,1,1,True,98004
6021500970,1,1,True,98117
6117501820,1,1,True,98166
6143000020,1,1,True,98001
6300000226,1,1,True,98133
6308000010,1,1,True,98006
6669020290,1,1,True,98032
6791200120,1,1,True,98075
7129304540,1,1,True,98118
7167000040,1,1,True,98010
7230400400,1,1,True,98059
7387500235,1,1,True,98106
7409700215,1,1,True,98115
7520000520,1,1,True,98146
7520000695,1,1,True,98146
7657000540,1,1,True,98178
7853420110,1,1,True,98065
7856400300,1,1,True,98006
7888000390,1,1,True,98198
7893805650,1,1,True,98198
7961500010,1,1,True,98178
7977201065,1,1,True,98115
8121100395,1,1,True,98118
8129700644,1,1,True,98103
8161020060,1,1,True,98014
8564860270,1,1,True,98045
8645530010,1,1,True,98058
8651402750,1,1,True,98042
8682262400,1,1,True,98053
8832900780,1,1,True,98028
9136103130,1,1,True,98103
9211500620,1,1,True,98023
9222400605,1,1,True,98115
9250900104,1,1,True,98133
9353300600,1,1,True,98059
9809000020,1,1,True,98004
9834200885,1,1,True,98144
