zipcode,rows,mae,rmse,rmsle,r2,median_absolute_error,mape,mean_error,mean_percentage_error,underprediction_rate,median_prediction_ratio,coefficient_of_dispersion,price_related_differential
98112,47,193317.44044403406,265641.4673431604,0.1826411372359623,0.8317925897584603,136932.05808059813,0.14450655202750615,-67700.42282596593,-0.03572458701913428,0.6808510638297872,0.9383174029466737,14.081830641768425,1.0175099513264267
98004,63,174034.20971534195,234246.92285300864,0.14272275242155658,0.9247781562838231,137526.6277146258,0.11345204572761691,-54296.152779150994,-0.01989706715207726,0.5555555555555556,0.9850423590828857,11.41311378766069,1.0170307673388328
98040,67,158538.16779510461,231272.82814639033,0.16617600417097528,0.8652309441768736,126681.66924343549,0.12530349729050938,-59087.80591710803,-0.033845076949525224,0.6417910447761194,0.955251952373142,12.51822414023491,1.0151001886465776
98105,49,153012.13347562458,245599.00511518828,0.16871659498173552,0.8570313035967301,97099.25834573165,0.139007541909161,-35470.345560561494,-0.01293453101350566,0.5510204081632653,0.9713003804775111,14.035432710850479,1.0244377563867337
98006,98,141905.89295398566,284350.0151161569,0.19110329157400158,0.7717755649472778,69226.23032682782,0.13035941139707896,-79449.9360296139,-0.02476350867265794,0.6428571428571429,0.9696317392374563,13.047696327740809,1.0647276789973528
98199,68,112286.06725884067,180773.69740600957,0.1706535135153435,0.8316445075492354,63043.28116492095,0.12744339415290887,-12552.567117420414,0.013404799747934805,0.4411764705882353,1.0266596563960098,12.259804299094148,1.0286819691602653
98005,33,106660.11221943489,139880.8871901271,0.16895329251665672,0.8262413931761856,69936.58839958801,0.12599820113644475,-54288.01447290292,-0.05074794424346367,0.696969696969697,0.9361984017065526,11.62657363800587,1.0134502829338323
98177,40,102776.73999408701,149774.37179478243,0.1782944390800041,0.7666348642171804,56674.14054002415,0.12962242451814937,-46025.12189675651,-0.0677732294392833,0.725,0.9415601368106092,12.362442597075972,0.9993353139044178
98024,23,95250.03494497656,160184.9081911337,0.1915264082432164,0.8150336190844361,57310.42011466797,0.14529584560199893,-47278.8827206505,-0.024573102622091704,0.5217391304347826,0.9990243115676436,14.539528486336986,1.0567557009430202
98033,98,94115.07712150854,155553.64570381117,0.16047577077503913,0.8178426175956663,57297.66075569563,0.10856004789142204,-56989.22952445125,-0.05135322194815645,0.6632653061224489,0.9519254625210585,10.750928363676492,1.0238532260408053
