high_value_band,rows,mae,rmse,rmsle,r2,median_absolute_error,mape,mean_error,mean_percentage_error,underprediction_rate,median_prediction_ratio,coefficient_of_dispersion,price_related_differential
"Q4: > 655,000 a 1M",823,88435.41550127021,119851.27702239723,0.1680714107704037,-0.5602839133578918,67330.82631304185,0.11114503406852203,-43201.46126248712,-0.05343645929245887,0.660996354799514,0.9495826074883148,10.947788226920064,1.0012200092610053
Q4: > 1M a 2M,289,201930.60122003208,251815.995809839,0.207042204183112,0.06627075674705152,179815.4872322518,0.15062378240993804,-103431.30779258507,-0.07637108900385174,0.6955017301038062,0.9075789725121773,14.375492370760258,1.0010823689584782
Q4: > 2M,46,544527.8742448811,646518.2496289539,0.2774201804434205,0.1857407272854258,473030.60339865775,0.1985568889463845,-378902.2842237874,-0.13684311322068227,0.8260869565217391,0.8508608473684878,16.263728854152045,1.0024478405585675
