month,rows,mae,rmse,rmsle,r2,median_absolute_error,mape,mean_error,mean_percentage_error,underprediction_rate,median_prediction_ratio,coefficient_of_dispersion,price_related_differential
2015-03,1763,62835.95638716587,105940.94487731307,0.1654858296509004,0.9067663821160578,37107.61348812026,0.11866546681760441,-12160.250124006023,0.00525410486246811,0.5416903006239365,0.9896650004581354,11.948604902865386,1.0284196458638133
2015-04,2231,67985.48771856361,117991.58156484179,0.16820638536085594,0.8982205080969959,41596.137907735305,0.1194968791692129,-23116.89854931165,-0.016957268423221945,0.6051098162259076,0.9688552641552645,12.00654044055567,1.0252257990786207
2015-05,646,75719.92589024316,137307.8084356593,0.17932665273556603,0.8902663596197034,44552.76499664172,0.1300566713499279,-34777.607829325985,-0.033466074234501285,0.653250773993808,0.954487097600268,12.833780826554593,1.0307620503351338
