q4_subquartile,rows,mae,rmse,rmsle,r2,median_absolute_error,mape,mean_error,mean_percentage_error,underprediction_rate,median_prediction_ratio,coefficient_of_dispersion,price_related_differential
Q4-A,298,71441.3534224998,91798.45446258294,0.14467127327049667,-17.688000352954937,60157.20176684769,0.10288292595672495,-27498.88870927959,-0.03988889645904814,0.6140939597315436,0.9666084009442435,10.237332804079884,0.999722716897616
Q4-B,292,89046.03332416227,119306.30442795194,0.1697429943483257,-10.67565147362058,67363.13374123164,0.11346647399426141,-43430.4501840652,-0.05503728757338276,0.6712328767123288,0.9364668586780083,11.111414055820445,1.000037372513097
Q4-C,278,118294.92810575954,160468.57222944582,0.19742164138835475,-5.94037559915554,84562.90788478265,0.12498636114337307,-67238.54688371629,-0.07133800717437709,0.7086330935251799,0.932705731874284,11.990175728864187,1.0002642922605034
Q4-D,290,262109.02710840595,350117.967146129,0.21728141849327667,0.669788086562984,208659.43722247193,0.1572369734728045,-149335.4459399749,-0.08467065109399052,0.7137931034482758,0.9046289408018305,14.911173595988934,1.0093601855706944
